kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
1050020002,Terminal 2,null,20002,25.2496,51.4755,20002 - Abdula Ali Food Stuff,0,City Center
1050020007,Terminal 7,null,20007,25.18191,51.4421,20007 - Faz Super Market,0,City Center
1050020009,Terminal 9,null,20009,25.26639,51.43123,20009 - Family Shopping Complex,0,City Center
1050020012,Terminal 12,null,20012,25.26632,51.43115,20012 - Al Rawabi Electronics,0,City Center
1050020013,Terminal 13,null,20013,25.2641,51.53753,20013 - Grand Mart Trading Co.,0,City Center
1050020014,Terminal 14,null,20014,25.2866667,51.5333333,20014 - Safwa Supermarket,0,City Center
1050020015,Terminal 15,null,20015,25.23174,51.436887,20015 - Safari Hypermarket,0,City Center
1050020016,Terminal 16,null,20016,25.22905,51.48937,20016 - Regency Hyper Market,0,City Center
1050020018,Terminal 18,null,20018,25.28411,51.5372,20018 - Green City Al Ghanem DBS,0,City Center
1050020019,Terminal 19,null,20019,25.2844,51.53419,20019 - Skynet Co. WLL,0,City Center
1050020028,Terminal 28,null,20028,25.31706,51.46144,20028 - Al Raya Grocery,0,City Center
1050020029,Terminal 29,null,20029,25.32068,51.46639,20029 - Doha Color Studio,0,City Center
1050020032,Terminal 32,null,20032,25.26755,51.41699,20032 - Foto Gulf Studio & Store,0,City Center
1050020033,Terminal 33,null,20033,25.25058,51.55476,20033 - Dubai Studio,0,City Center
1050020034,Terminal 34,null,20034,25.28101,51.49799,20034 - Al Saniya Mobile,0,City Center
1050020039,Terminal 39,null,20039,25.27306,51.50354,20039 - Foto Shine,0,City Center
1050020044,Terminal 44,null,20044,25.19515,51.43147,20044 - Al Neel Trading Center,0,City Center
1050020045,Terminal 45,null,20045,25.46653,51.40754,20045 - SEALCO Contracting Trdg,0,City Center
1050020046,Terminal 46,null,20046,25.6777,51.4989,20046 - Kabayan Hypermarket,0,City Center
1050020052,Terminal 52,null,20052,25.99397,51.54811,20052 - Skynet Group WLL,0,City Center
1050020057,Terminal 57,null,20057,25.28245,51.52707,20057 - Foto Gulf Company WLL,0,City Center
1050020063,Terminal 63,null,20063,25.18696,51.4624,20063 - Skynet Group WLL,0,City Center
1050020064,Terminal 64,null,20064,25.447906,50.87909,20064 - Abu Ahmed Food Center,0,City Center
1050020066,Terminal 66,null,20066,25.19515,51.43147,20066 - Al Neel Trading Center,0,City Center
1050020071,Terminal 71,null,20071,25.28411,51.5372,20071 - Green City Cafeteria,0,City Center
1050020070,Terminal 70,null,20070,25.28411,51.5372,20070 - Green City Cafeteria,0,City Center
1050020069,Terminal 69,null,20069,26.12694,51.20452,20069 - Al Khubaisi Supermarket,0,City Center
1050000002,Mowasalat Karwa Smartcard,null,00011,25.2866667,51.5333333,DBS Sales Office,0,DOHA
1050020084,Terminal 84,null,20084,25.219078,51.496015,20084 - Safari Mall,0,Doha
1050020087,Terminal 87,null,20087,25.2905,51.4202,20087 - Sues Canal Supermarket,0,Doha
1050020086,Terminal 86,null,20086,25.219078,51.496015,20086 - Safari Mall,0,Doha
1050020085,Terminal 85,null,20085,25.28411,51.5372,20085 - Green City Supermarket - Bin Omran,0,Doha
1050020090,Terminal 90,null,20090,25.44764,50.87882,20090 - Dukhan Trading Center,0,Zakreet 
1050020092,Terminal 92,null,20092,25.27215,51.53303,20092 - New Falcon Shopping Centre,0,Bin Dirhm- Mansoura
1050020093,terminal 93,null,20093,25.31699,51.477905,20093 - New Book Shop,0,Doha
1050020094,Terminal 94,null,20094,24.9951,54.54744,20094 - Al Muthawakkal Supermarket,0,Doha
1050020095,Terminal 95,null,20095,25.21183,51.5816,20095 - Foto Gulf Company WLL,0,Doha
1050020096,Terminal 96,null,20096,25.19515,51.43147,20096 - Al Neel Trading Center Souq Al Atiyah Industrial,0,Doha
1050000004,Mowasalat,null,00014,25.2866667,51.5333333,Mowasalat Disposable Card,0,DOHA
1050000004,Mowasalat,null,00015,25.2866667,51.5333333,Mowasalat Disposable Card,0,DOHA
1050030001,Mowasalat,null,30001,25.284853,51.536564,null,5,DOHA
1050020062,Terminal 62,null,20062,25.37366,51.22985,20062 - Al Alam Super Market,0,City Center
1050020097,Shabad V.K.,null,20097,25.18508,51.46344,20097 - Tocho Trading & Services,0,Doha
1050020098,Ashraf Abdulla,null,20098,25.26638,51.55137,20098 - Al Riyadh Shopping Complex,0,Al Hilal- Near Airport
1050020101,Vernon Joubert,null,20101,25.2866667,51.5333333,20101 - PayThem.net Wll,0,P.O Box 22910- Doha -Qatar
1050020102,Nasser Erumbanandy,null,20102,25.682169,51.501518,20102 - Al Malki Trading Centre,0,Al Khor Road- Al Khor
1050030002,Mowasalat,null,30002,25.191475,51.480761,null,5,DOHA
1050020111,Planning Department,null,10500,25.2866667,51.5333333, 20111 - Tyson Supermarket,0,Building No.38- Al Areeq Street near Jaidha Tower
1050030005,Mowasalat,null,30005,25.2866667,51.5333333,null,5,Doha
1050020112,Planning Department,null,20112,25.2866667,51.5333333,20112 - Al Fatimiya Trading,0,shop # 19- street 24- industrial area
1050030004,Mowasalat,null,30004,25.368547,51.550236,null,5,DOHA
1050030006,Mowasalat,null,30006,25.2866667,51.5333333,null,5,Doha
1050030003,Mowasalat,null,30003,25.284853,51.536564,null,5,DOHA
2,Paythem ,Paythem ,2,25.675747,51.499442,Paythem ,O,Al Khor
47,Paythem ,Paythem ,47,25.194722,51.430278,Paythem ,O,Ahramath Phones
48,Paythem ,Paythem ,48,25.167437,51.598041,Paythem ,O,Al Akil Communications
49,Paythem ,Paythem ,49,25.684814,51.495414,Paythem ,O,Al Anees Al Khor
50,Paythem ,Paythem ,50,25.289967,51.420421,Paythem ,O,Al Anees Al Rayyan
51,Paythem ,Paythem ,51,25.279057,51.536087,Paythem ,O,Al Anees Al Watan
55,Paythem ,Paythem ,55,25.269396,51.4157,Paythem ,O,Al Anees Muaither
56,Paythem ,Paythem ,56,25.193822,51.462562,Paythem ,O,Al Anees Plaza Mall
62,Paythem ,Paythem ,62,25.249167,51.451944,Paythem ,O,Al Esteshari Mobile Shop
65,Paythem ,Paythem ,65,25.170833,51.597778,Paythem ,O,Al Fiker Computers
