School Name,Educational Curriculum,Region,School Type
AL jalia Al turkiya School,Turkish,Ain Khaled,MALES AND FEMALES
Al Jazeera Academy - KG Pri Prep Sec - Mixed,British,Bu Hamour,MALES AND FEMALES
Al Joud International Kindergarten,American,Nuaija,MALES AND FEMALES
Al khazamaa Private kindergarten,SEC Curriculium,Jelaiah,MALES AND FEMALES
Al Khor International Kindergarten,British,Al Khor,MALES AND FEMALES
Al Khor International School - British Curriculum,British,Al Khor,MALES AND FEMALES
Al Khor International School-CBSE Curriculum,India,Al Khor,MALES AND FEMALES
Al Maha English School - Pri - Boys,British,Ain Khaled,Male
Al Manar International School -Al Thameed,American,Al Themaid,MALES AND FEMALES
Al Nebras International Kindergarten,American,Legtaifiya,MALES AND FEMALES
Al Noor Language Kindergarten â€“ Al Naeija,SEC Curriculium,Nuaija,MALES AND FEMALES
Al Oud Al Akhdar International Kindergarten,India,Fereej Bin Mahmoud,MALES AND FEMALES
Al Oud Al Akhdar International School and Kindergarten,India,Al Thumama,MALES AND FEMALES
Al Rayyan Private School Boys â€“ Girls,SEC Curriculium,New Al Rayyan,MALES AND FEMALES
Al Redwan Kindergarten,SEC Curriculium,Al Wukair,MALES AND FEMALES
AL ROYAL CROWN SCHOOL,British,Nuaija,MALES AND FEMALES
Al Tamakon,SEC Curriculium,Industrial Area,MALES AND FEMALES
Al Watan - Kindergarten Primary - Mixed,India,Al Khor,MALES AND FEMALES
Al-Andalus - KG - Mixed,SEC Curriculium,Fereej Al Soudan,MALES AND FEMALES
Al-Andalus - Prep Sec - Boys,SEC Curriculium,Umm Lekhba,Male
Al-Andalus - Pri - Boys,SEC Curriculium,Muaither,Male
AlAndalus - Pri Prep Sec - Girls,SEC Curriculium,Fereej Al Soudan,Female
AlArqam Academy - KG Pri Prep Sec - Girls,British,Mesaimeer,Female
Alashbal international Kindergarten,British,Nuaija,MALES AND FEMALES
Alashbal international school,British,Ain Khaled,MALES AND FEMALES
Alashbal International School - Ain Khaled,British,Ain Khaled,MALES AND FEMALES
Alashbal Preparatory international school,British,Ain Khaled,MALES AND FEMALES
Albashaer - KG - Mixed,SEC Curriculium,Al Kheesa,MALES AND FEMALES
AlBateel International Kindergarten,American,Al Maamoura,MALES AND FEMALES
AlBustan Private - KG - Mixed,SEC Curriculium,Al Wakra,MALES AND FEMALES
Aldiaa International Kindergarten,British,Al Kheesa,MALES AND FEMALES
Aleabqarii Alsaghir International Kindergarten,French,Umm Al Seneem,MALES AND FEMALES
Alfaisal Primary Academy,British,New Al Rayyan,MALES AND FEMALES
AlFaisel Private - KG - Mixed,SEC Curriculium,New Al Rayyan,MALES AND FEMALES
AlFajr Al-Jadeed School- KG - Mixed,British,Old Airport,MALES AND FEMALES
AlFallah Private Pri - Boys,SEC Curriculium,Al Hilal,Male
AlFatat AlMuslima Prep-Girls,SEC Curriculium,Umm Lekhba,Female
AlFatat AlMuslima Pri - Girls,SEC Curriculium,Al Markhiya,Female
Al-Furqan Private Prep - Boys,SEC Curriculium,Al Luqta,Male
Al-Furqan Private Pri - Boys,SEC Curriculium,Al Luqta,Male
Al-Furqan Private Sec - Boys,SEC Curriculium,Al Luqta,Male
AlHammad International Developed Kindergarten,American,Old Airport,MALES AND FEMALES
AlHammad International developed School-K Pi Pp Se,American,Old Airport,MALES AND FEMALES
AlHayat Universal School - KG Pri - Mixed,Canadian,Al Themaid,MALES AND FEMALES
AlJeel AlJadeed - KG - Mixed,SEC Curriculium,Al Sadd,MALES AND FEMALES
Aljeel Alqadem School- Al Wakra Branch2,British,Al Wakra,MALES AND FEMALES
Aljeel Alqadem School- Al Wukair Branch,British,Al Wukair,MALES AND FEMALES
Aljeel Alqadem Private school- Rawdat Alhamama,British,Rawdat Al Hamama,MALES AND FEMALES
Aljeel Alqadem Private School- Al Wakra,British,Al Wakra,MALES AND FEMALES
Aljeelalqadem Private kindergarten - almashaf,British,Al Wukair,MALES AND FEMALES
Aljeelalqadem Private School-Ain khaled,British,Ain Khaled,MALES AND FEMALES
AlKhulud Language - KG - Mixed,British,Old Airport,MALES AND FEMALES
Alkoon academy International / ALMasrouhiya Branch,American,Al Masrouhiya,MALES AND FEMALES
Al-louloua International Primary School,India,Al Dafna,MALES AND FEMALES
ALMADINA INTERNATIONAL KINDERGARTEN,British,Al Wakra,MALES AND FEMALES
Almaerifa School,British,Al Messila,MALES AND FEMALES
AlMaha Academy Private -KG Pri Prep Sec- Girls,British,Ain Khaled,Female
AlMahd International School - KG Pri- Mixed,British,Fereej Kulaib,MALES AND FEMALES
Almanar International Kindergarten,American,Bu Hamour,MALES AND FEMALES
Almanar International School - Aldafna branch,American,Al Dafna,MALES AND FEMALES
Almanar International School -Alsadd branch,American,Al Mirqab,MALES AND FEMALES
Al-Mujtama - Prep Sec - Girls,SEC Curriculium,Muraikh,Female
